               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097605,             0.22811,                   0,            0.031244,             0.38837,            0.032987,           0.0075207,            0.092798,             0.19076,                   0,              0.0964,              0.0004,              0.0004
                   1,            0.093166,             0.26823,                   0,            0.041372,             0.44589,            0.051319,            0.011372,            0.087415,              0.1906,                   0,            0.091882,          0.00088218,          0.00088218
                   2,            0.091781,             0.24341,                   0,            0.083651,             0.21583,            0.047845,            0.011037,            0.083856,             0.18178,                   0,            0.087345,           0.0013446,           0.0013446
                   3,            0.089555,             0.27015,                   0,             0.10798,             0.25294,            0.063081,            0.014819,            0.082598,             0.17206,                   0,            0.082787,           0.0017871,           0.0017871
                   4,            0.090271,             0.22601,                   0,             0.17831,             0.27644,               0.129,            0.030847,            0.084329,             0.17673,                   0,             0.07821,           0.0022099,           0.0022099
                   5,            0.087572,             0.21995,                   0,             0.18105,             0.36178,             0.13337,            0.031755,            0.081932,             0.15992,                   0,            0.073613,           0.0026129,           0.0026129
                   6,            0.085811,             0.20467,                   0,             0.29163,             0.42239,             0.27216,            0.073639,            0.076305,             0.13896,                   0,            0.068996,           0.0029961,           0.0029961
                   7,            0.086024,              0.2162,                   0,             0.31785,             0.48856,             0.28512,            0.077521,             0.07435,             0.14112,                   0,            0.064359,           0.0033595,           0.0033595
                   8,            0.079382,             0.17241,                   0,             0.27148,             0.52752,             0.25619,            0.065675,            0.071063,             0.13217,                   0,            0.059703,            0.003703,            0.003703
                   9,            0.079646,             0.19229,                   0,             0.29431,              0.5034,             0.27282,            0.074445,            0.077353,             0.12681,                   0,            0.055027,           0.0040268,           0.0040268
                  10,            0.080175,             0.17269,                   0,             0.21429,             0.49722,             0.18294,            0.042534,            0.076663,             0.11637,                   0,            0.050331,           0.0043308,           0.0043308
                  11,            0.077135,             0.14942,                   0,             0.35156,             0.50155,             0.36339,             0.11005,            0.074318,             0.11364,                   0,            0.045615,            0.004615,            0.004615
                  12,            0.077154,             0.17768,                   0,             0.29293,             0.62523,             0.28064,             0.10504,            0.070902,             0.11902,                   0,            0.040879,           0.0048794,           0.0048794
                  13,            0.076113,             0.18937,                   0,             0.28262,             0.37662,             0.26337,            0.068775,            0.081952,             0.10785,                   0,            0.036124,           0.0051239,           0.0051239
                  14,            0.080872,             0.19929,                   0,             0.34481,             0.62555,             0.37665,             0.10526,            0.069654,             0.11641,                   0,            0.031349,           0.0053487,           0.0053487
                  15,            0.080346,             0.19351,                   0,             0.41472,             0.60049,              0.4974,             0.15014,            0.071088,             0.11454,                   0,            0.026554,           0.0055537,           0.0055537
                  16,            0.076255,             0.18535,                   0,              0.4608,             0.57131,             0.48761,             0.18759,            0.077698,             0.11085,                   0,            0.021739,           0.0057389,           0.0057389
                  17,            0.077277,             0.14932,                   0,             0.54867,             0.60482,             0.59722,              0.1897,            0.063056,             0.11447,                   0,            0.016904,           0.0059043,           0.0059043
                  18,            0.072405,             0.17771,                   0,             0.60603,             0.62894,             0.63621,             0.18252,            0.069516,             0.11349,                   0,             0.01205,           0.0060498,           0.0060498
                  19,            0.081146,             0.17369,                   0,             0.62399,             0.68249,             0.69863,             0.27287,            0.065426,             0.11801,                   0,           0.0071756,           0.0061756,           0.0061756
                  20,            0.071007,             0.16178,                   0,             0.36893,             0.64007,             0.42164,             0.13433,            0.067951,              0.1061,                   0,             0.00604,             0.00604,             0.00604
                  21,            0.078429,             0.15704,                   0,             0.53736,             0.57761,             0.59124,             0.21371,            0.066985,             0.10814,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.073625,             0.18174,                   0,             0.61112,             0.62523,             0.64517,             0.18914,            0.063247,             0.10517,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.064663,             0.18761,                   0,             0.67389,             0.67285,             0.73545,             0.25448,            0.060587,             0.10626,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.070557,             0.16526,                   0,             0.41011,             0.67802,             0.47453,              0.1872,            0.061569,             0.10535,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.070769,             0.14347,                   0,             0.51518,             0.68955,             0.57273,             0.18941,            0.059096,             0.10319,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.065416,             0.17016,                   0,             0.64909,             0.78602,             0.76169,             0.31393,            0.054153,             0.10118,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.06327,             0.15473,                   0,             0.52922,             0.61781,             0.56505,             0.18141,            0.066408,             0.10362,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.072399,             0.19024,                   0,             0.69008,             0.77118,             0.79895,             0.33452,            0.051148,             0.10228,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.065751,             0.16181,                   0,             0.56713,              0.6914,              0.6275,             0.19773,            0.061722,            0.097979,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.064742,             0.15885,                   0,             0.79488,             0.84116,             0.87037,             0.42177,             0.04921,            0.099414,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.056206,             0.17406,                   0,             0.53191,             0.77798,             0.64984,             0.28695,            0.055239,             0.11159,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.062949,             0.17138,                   0,             0.73402,             0.78664,              0.8394,             0.42944,             0.05179,            0.098516,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.060348,             0.13373,                   0,             0.72066,             0.79294,             0.80737,             0.31145,             0.05591,            0.098517,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.06193,             0.15815,                   0,             0.59493,             0.73934,             0.73125,             0.33675,            0.054044,            0.096494,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.057588,             0.17049,                   0,             0.79147,             0.80581,             0.85811,             0.40278,            0.050323,             0.10811,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.05523,             0.16262,                   0,             0.91088,             0.86601,             0.94635,             0.48498,            0.046039,            0.098574,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.052127,             0.16133,                   0,             0.74335,             0.83735,             0.82714,             0.40093,            0.047454,            0.095361,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.054155,             0.17239,                   0,             0.87741,             0.87198,             0.92604,             0.49012,            0.045252,            0.095378,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.054397,             0.17991,                   0,             0.78253,             0.84848,             0.87883,             0.40152,            0.046999,            0.097933,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.052524,               0.154,                   0,             0.87991,             0.88806,             0.93997,             0.48551,            0.045547,            0.093926,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.055056,             0.16554,                   0,             0.83029,             0.86827,             0.91481,             0.46509,            0.046624,            0.093271,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.051036,              0.1629,                   0,             0.89298,              0.8772,             0.94263,             0.51074,             0.04419,            0.092622,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.052527,             0.14374,                   0,             0.87592,             0.86878,             0.94109,             0.49892,            0.045881,            0.093062,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.053319,             0.17067,                   0,             0.91138,             0.88683,             0.95282,             0.52048,            0.043324,             0.09276,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.049826,               0.147,                   0,             0.90886,             0.89239,             0.95573,             0.52557,            0.044101,            0.092819,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.052849,             0.16039,                   0,             0.93118,             0.88497,             0.96098,             0.53503,            0.042987,             0.09245,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.049905,             0.13023,                   0,             0.93488,              0.8878,             0.95992,             0.53555,            0.042889,            0.091431,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.050534,             0.14663,                   0,             0.93497,             0.89806,             0.96359,             0.54069,            0.042607,            0.091195,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.050146,             0.13646,                   0,             0.93355,             0.89672,             0.96146,             0.53516,            0.042714,            0.091162,                   0,            0.000496,            0.000496,            0.000496
